ats_vendor,access_tier,ats_slug,sector,sector_source,sector_confidence,naics2,nyc_strict_count,ny_bare_count,ny_state_count,total_count,nyc_count,remote_us_count,multi_city_ny_count,is_recruiter,sample_location,sample_url,first_seen
greenhouse,1,anthropic,ai,agent,high,54,365,0,0,745,365,43,357,false,"New York City, NY; New York City, NY | Seattle, WA; San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/4951814008,2026-05-25
greenhouse,1,doordashusa,logistics_delivery,agent,high,48,226,0,4,658,226,81,196,false,"San Francisco, CA; Los Angeles, CA; New York, NY; Chicago, IL; Atlanta, GA",https://job-boards.greenhouse.io/doordashusa/jobs/7875253,2026-06-02
greenhouse,1,coreweave,ai,agent,high,54,215,1,2,386,216,1,190,false,"Livingston, NJ / New York, NY ",https://coreweave.com/careers/job?4656273006&board=coreweave&gh_jid=4656273006,2026-06-16
greenhouse,1,thenewyorktimes,media_advertising,agent,high,51,198,0,0,235,198,12,15,false,"New York, NY",https://job-boards.greenhouse.io/thenewyorktimes/jobs/4720540005,2026-06-16
greenhouse,1,diginnother,hospitality_food,agent,high,72,182,2,11,325,184,0,0,false,"New York, New York",https://job-boards.greenhouse.io/diginnother/jobs/7739693,2026-06-16
greenhouse,1,datadog,software,agent,high,51,173,0,5,565,173,49,63,false,"New York, New York, USA",https://careers.datadoghq.com/detail/8174592/?gh_jid=8174592,2026-05-29
workday,1,convive|wd12|lepainquotidien,hospitality_food,agent,high,72,172,0,22,395,172,0,0,false,"New York, NY",https://convive.wd12.myworkdayjobs.com/lepainquotidien/job/New-York-NY/Assistant-General-Manager_JR100504-1,2026-06-16
workday,1,dollartree|wd5|dollartreeus,retail,agent,high,44,162,0,853,29823,162,0,0,false,NY-Brooklyn,https://dollartree.wd5.myworkdayjobs.com/dollartreeus/job/NY-Brooklyn/Assistant-Manager-I_R-282215,2026-06-17
lever,1,spear,healthcare,agent,high,62,159,0,17,187,159,0,0,false,"New York, New York",https://jobs.lever.co/spear/132cd75e-6c26-42f0-ac72-06986c14a423,2026-06-16
paylocity,2,ADAPT Community Network,nonprofit_social_services,agent,high,62,159,0,2,161,159,0,0,false,"New York, NY",https://recruiting.paylocity.com/recruiting/Jobs/Details/4070689,2026-06-16
